date,tier,title,grid,clues_across,clues_down
2026-09-08,mini,Quick Solve,##O#P##/FLAGONS/##T#R##/POS#RED/O###O#R/TAJIN#Y/S###S##,3. Plural of the large | 4. Point of sale computer terminal used by bartenders to enter drink orders and process checks | 5. Vibrant crimson tint characteristic of an Italian bitter apéritif or sweet vermouth | 7. Popular Mexican seasoning blend combining ground chili peppers,1. High-protein cereal grain added to brewing mashes to create silky | 2. Plural of the traditional Spanish glass wine vessels equipped with pouring spouts | 4. Plural of the traditional bulbous copper kettles used for artisanal batch distillation | 6. Flavor descriptor denoting the complete absence of residual sweetness
2026-09-08,midi,The Daily Grid,##DRYER#FIN/###Y##I#L##/BLUE##CHAR#/A###B#O#M##/S##GIN#FIGS/E###T###N#P/#LEWISBAG#I/#I##N##L##L/#N#EGG#E##L/BED###ASTI#/#S#########,1. Comparative tasting term denoting a cocktail formulation possessing less residual sugar | 4. Delicate citrus peel wing trimmed to resemble a fish fin for garnish | 5. Vibrant cyan tint imparted to tropical drinks by curaçao liqueur dyed with food-grade color | 6. The blackened carbonized wood layer torched into the interior walls of new bourbon barrels | 8. Botanical spirit flavored predominantly with aromatic juniper berries | 9. Plural of the sweet Mediterranean fruits macerated into autumnal brandies and rich syrups | 11. Heavy canvas pouch into which ice cubes are placed to be crushed dry with a wooden mallet | 13. Emulsifying cocktail ingredient whose white yields a silky textural foam collar | 14. The porous filter layer of crushed grain husks resting inside a mash tun during lautering | 15. Piedmontese province celebrated for sweet floral sparkling Moscato wines,2. Grain spirit that lends a dry and peppery spice backbone to a classic Manhattan | 3. Puerto Rico: the Caribbean island territory celebrated as the historic birthplace of the Piña Colada | 4. Igniting overproof spirits or expressed citrus oils to produce an aromatic flash of fire | 5. The foundational high-proof primary spirit around which a cocktail recipe is constructed | 7. Astringent sharp sensation on the tongue caused by high acidity or un-aged alcohol | 10. Liquid droplets caught safely inside the lower rubber grate of a bar service mat | 11. Plural of the insulated draught tubing lines running from cold walk-in kegs to bar faucets | 12. Plural classification of top-fermented beers encompassing pale ales
2026-09-08,main,The Masterpiece,###########BOWL/BARBACK##C#O#A#/#####A#FLAGONS#/#KIR#L#L#S#T#H#/#I#A#V#OAK#S###/#R#GUAVA####C##/DRY##D#T#DRIER#/#O###O#I####L#H/SYRUPS#NUTS#E#A/#A##U##G##PERRY/#LAMB#####E#Y##/B#G###N#F#E#S##/U#A#ICELAND#AGE/CAVA##A#T###L##/K#E#TOTS#ZESTER,1. Vessel designed for communal punches or the fluid basin of a cocktail glass | 3. The tireless bar assistant responsible for stocking ice prepping fruit and washing glasses | 6. Plural of the large | 7. Classic French apéritif combining crème de cassis with a pour of crisp dry white Aligoté wine | 9. Wood barrel standard responsible for lending vanillin and wood tannins to aged spirits | 10. Fragrant tropical fruit pureed into sweet pink nectars for Caribbean tiki swizzles | 12. Flavor descriptor denoting the complete absence of residual sweetness | 13. Alternative spelling for a cocktail profile featuring more bitter or spirit-forward balance | 15. Plural category of concentrated liquid sweeteners balancing cocktail acids | 17. Complimentary roasted and salted legumes served on bar counters to stimulate thirst | 19. Traditional fermented beverage produced exclusively from the juice of specific pear varieties | 20. Belgian sour wheat ale fermented spontaneously with wild Brettanomyces yeasts in open vats | 25. North Atlantic island nation distilling caraway-scented Brennivín schnapps | 26. Maturation period inside a wooden cask that mellows raw distillate | 27. Spanish sparkling wine produced predominantly in Catalonia via the traditional method | 28. Plural of the historic daily rum rations issued to sailors across the British Royal Navy | 29. Small metal kitchen tool featuring sharp circular teeth to scrape citrus zest,1. Novelty boot-shaped glass beer vessels utilized in lively German drinking traditions | 2. The fermented liquid wort or wine ready to be pumped into a copper still | 4. Apple and pear brandy crafted in Normandy and aged inside traditional oak vats | 5. Individual wooden barrel used to mature refine and color fine spirits | 6. Pouring a delicate spirit layer over the bowl of an inverted barspoon | 7. Luxurious French apéritif combining crème de cassis topped with dry sparkling champagne | 8. Microfiber cloth or cotton towel deployed by a bartender to keep the service station dry | 11. Savory seasoning blend combining crushed celery seeds with fine salt | 14. Toasted sweet meadow grass infused into modern artisanal bourbons to impart rustic farm notes | 16. Traditional British drinking establishment named as an abbreviation of public house | 18. Ergonomic cocktail layout engineered to maximize rapid drink production during busy rushes | 21. Desert succulent plant whose harvested core is roasted and pressed to produce mezcal | 22. Historic highball family pairing spirits with citrus juice and effervescent ginger beer | 23. Spirits served at ambient room temperature directly from the bottle without ice | 24. Rich lipid substance like melted butter
2026-09-09,mini,Morning Coffee,W###F##/A#BELL#/S###A##/HEADS#T/I#L#KIR/N#E###U/GAS#SUB,3. Bell-shaped Japanese jigger or the Division Bell mezcal cocktail created in New York | 4. The volatile | 7. Classic French apéritif combining crème de cassis with a pour of crisp dry white Aligoté wine | 8. Carbon dioxide or nitrogen used to carbonate beverages and propel draught liquid through lines | 9. To swap one spirit or modifier for another in a standard recipe to create a variation,1. Fat-washing technique infusing spirits with liquid lipids before freezing them out | 2. Curved | 5. Plural classification of top-fermented beers encompassing pale ales | 6. Coagulated protein and hop sediment that settles to the bottom of the brewing kettle
2026-09-09,midi,Midday Break,########GIG/K##KAHLUA#A/E#F#U###R#S/GROGS#CANE#/S#O#T###I#C/##TORCHES#A/T###I###H#R/O##BARN#I#P/N##O#I##N#A/I##COCO#GIN/CASK#O####O,1. Slang term for a bartender guest shift or evening hospitality event | 4. Rich Mexican coffee liqueur crafted with rum cane sugar and real Arabica beans | 7. Plural of the historic Royal Navy drinks mixing dark rum | 8. Tall tropical grass whose sweet sap is harvested to produce sugar and rum | 10. Plural of the culinary butane tools utilized by bartenders to singe peel oils and herbs | 12. Traditional timber farm building where rustic Belgian farmhouse saison ales are brewed | 14. Cream of coconut shorthand | 15. Botanical spirit flavored predominantly with aromatic juniper berries | 16. Individual wooden barrel used to mature refine and color fine spirits,1. Adorning the rim or surface of a cocktail with citrus herbs or brandied cherries | 2. Carbon dioxide or nitrogen used to carbonate beverages and propel draught liquid through lines | 3. Plural of the stainless steel pressurized barrels delivering draught beer and cider to bar taps | 5. Alpine country celebrated for apricot marillen schnapps and crisp Grüner Veltliner wines | 6. The flat | 9. Turin distillery credited with commercializing sweet vermouth through Antonio Carpano | 11. Bitter carbonated mixer sweetened with sugar and flavored with cinchona quinine | 12. Strong bottom-fermented German lager style brewed to celebrate seasonal transitions | 13. Puerto Rico: the Caribbean island territory celebrated as the historic birthplace of the Piña Colada
2026-09-09,main,Weekend Edition,###########S#W#/#L#####INDIANA#/HOP#####U##K#X#/#V##B#BOTTLE##N/MAPLE#R##A##O#E/#G##DEEP#MELLOW/KEGS##W##A##D##/###E##M#DRY####/###ARRAN#I#V#N#/FULL##S##N#A#O#/#M##VATS#D#MUGS/PALE##E####P#S#/#M#Y#DRAMBUIE##/FINES##I#A#R###/#####HERBY#OAK#,4. Midwestern American state home to massive historic distillation facilities producing rye | 6. Cone-shaped flower that provides floral bitterness and antimicrobial properties to beer | 8. A glass container with a narrow neck used to store and age wine | 11. Tree sap boiled into rich syrup providing autumnal wood notes to brown spirits | 13. Sensory descriptor for layered | 14. Rounded softened spirit profile achieved through lengthy barrel maturation | 15. Plural of the stainless steel pressurized barrels delivering draught beer and cider to bar taps | 17. Flavor descriptor denoting the complete absence of residual sweetness | 18. Scottish island whose Lochranza distillery produces unpeated | 21. Sensory descriptor for a rich | 23. Plural of the massive wooden or stainless bulk holding tanks used to marry blended spirits | 24. Plural of the heavy copper or ceramic handled vessels utilized to serve icy Moscow Mules | 25. Light-hued ale style characterized by crisp malt profiles and aromatic hops | 27. Scotch whisky liqueur sweetened with heather honey herbs and secret spices | 30. Delicate high-proof brandies distilled from exceptional estate wine harvests | 31. Aromatic descriptor for intense fresh garden botanical notes like mint | 32. Wood barrel standard responsible for lending vanillin and wood tannins to aged spirits,1. Traditional Japanese fermented alcoholic beverage made from polished rice and koji mold | 2. Natural beeswax melted over bottle closures to protect aged vintage spirits from ambient oxygen | 3. Pungent perennial European herb featuring intense celery and anise flavors used in savory drinks | 5. Hard-shelled seed like hazelnut or walnut macerated to yield rich nutty winter liqueurs | 7. The porous filter layer of crushed grain husks resting inside a mash tun during lautering | 8. Lead technical expert responsible for recipe development | 9. Tart | 10. Modern cocktail prefix designating contemporary regional classics like the New York Sour | 12. Historic classification for vintage cocktail formulas or Victorian sweetened Old Tom gin | 16. Protective heat-shrink foil capsule or wax shell safeguarding a bottle closure from air | 19. Popular Mexican cocktail shaking tequila with spicy sangrita | 20. Plural of the rich egg | 22. The savory | 26. Colloquial term for a morning revitalizer cocktail or a drop of modifier | 28. Delicate aerated foam or bubble cloud created with soy lecithin to crown modern cocktails | 29. Coastal cocktail family characterized by the Bay Breeze pairing vodka with fruit juices
2026-09-10,mini,Brain Snack,BRUT#B#/###ARAK/#L#V#Y#/PALE###/#R#RUN#/#DEN#U#/#####T#,1. Dry classification for sparkling wines containing less than twelve grams of sugar per liter | 4. Clear Levantine distilled spirit flavored with aniseed that turns milky white with water | 6. Light-hued ale style characterized by crisp malt profiles and aromatic hops | 7. A single complete cycle of heating | 9. Intimate subterranean cocktail lounge or cozy neighborhood retreat dedicated to fine drinks,2. Historic roadside inn or gathering hall licensed to serve hearty food and fermented drinks | 3. Coastal cocktail family characterized by the Bay Breeze pairing vodka with fruit juices | 5. Rendered pork lipid used in culinary mixology to fat-wash bourbon for savory old fashioneds | 8. Hard-shelled seed like hazelnut or walnut macerated to yield rich nutty winter liqueurs
2026-09-10,midi,Brain Teaser,HOSE#####A#/##U#TWISTED/COCO###K#J#/I#R####I#O#/N#O#CREME#C/N#S#R#####R/AVEZE#B#J#E/M###MARSALA/O#I#A#E#R#M/N#CAN#WASH#/##E#T######,1. Flexible food-grade braided tubing used to transfer mash | 4. Curled into a tight spiral to express essential citrus oils across the surface of a cocktail | 6. Cream of coconut shorthand | 7. French cordial designation for sweet | 9. Traditional French gentian liqueur crafted using wild roots harvested from Auvergne | 12. Fortified wine produced around the Sicilian city of Marsala used in aperitifs and cooking | 14. Aluminum beverage container increasingly used for ready-to-drink craft cocktails | 15. The fermented liquid wort or wine ready to be pumped into a copper still,2. Common disaccharide table sugar dissolved into equal measures of water to make standard simple syrup | 3. Tequila matured in small wooden barrels for at least one year to impart amber wood nuances | 5. To remove floating fat caps | 6. Aromatic sweet inner tree bark grated fresh over warm winter toddies | 7. Appellation for French traditional-method sparkling wines produced outside Champagne | 8. Heavy dairy fat floated atop Irish coffee or shaken with coffee liqueur for White Russians | 10. To ferment malted grains into beer or steep roasted beans for coffee cocktails | 11. Plural of the handled glass mason vessels frequently utilized for rustic moonshine cocktails | 13. The bartender's indispensable thermodynamic coolant and dilution control agent
2026-09-10,main,Brain Bender,COSMO#F###R####/A####TIPPLING#N/SPECS#T###N#ALE/K##O#W#G##D#S#T/#HORSERADISH###/#O#K#B#M####EYE/ANT####M##JUG##/#E###M#E##I#GUM/#Y##TAILINGS###/M####I####G####/O##VAT#N#NEAT##/U#P##A#O##R###S/SWIRLING##SECCO/S#N#O##SEC####U/E#K#GIG###SPEAR,1. Colloquial abbreviation for the pink Cosmopolitan cocktail shaken with citron vodka and cranberry | 4. Leisurely enjoying small measures of alcoholic mixed drinks throughout an evening | 7. The precise ingredient measurements and operational steps defining a standard cocktail recipe | 9. Top-fermented malt brew produced with warm fermentation yeast strains | 12. Pungent white root grated fresh into savory tomato mixes to deliver sharp | 13. Colloquial term for a morning revitalizer cocktail or a drop of modifier | 14. Roasted and crushed chicatana flying ant seasoning blended with salt to accompany neat mezcal | 15. Bulbous ceramic or glass container used to dispense communal table punch | 17. Arabic tree exudate boiled with sugar to produce velvety gomme syrup | 18. The oily low-alcohol fraction emerging at the end of a distillation run | 20. Enormous wooden or stainless vessel used for bulk spirit blending | 22. Spirits served at ambient room temperature directly from the bottle without ice | 25. Rotating a glass in small circles to coat the walls and release volatile aromatics | 27. Italian wine and vermouth label descriptor denoting a dry crisp finish | 28. French wine and cordial label indicator denoting a dry profile | 29. Slang term for a bartender guest shift or evening hospitality event | 30. Long narrow strip of cucumber or pineapple used to adorn tall highballs,1. Individual wooden barrel used to mature refine and color fine spirits | 2. The secure friction seal formed between two metal tins when locking a Boston shaker | 3. Plural of the tough protective skins of citrus fruits containing volatile aromatic oil sacs | 5. Carbon dioxide or nitrogen used to carbonate beverages and propel draught liquid through lines | 6. Fine wire mesh screen used during double-straining to catch microscopic ice shards | 8. Elastic natural bark harvested from Mediterranean cork oaks to seal fine wine and spirit bottles | 10. Tangled gossamer threads spun by cellar spiders across historic vintage wine bottles | 11. Gammel Dansk: traditional Danish bitter herbal spirit consumed at celebratory breakfast toasts | 12. Sweet viscous substance produced by bees lending floral notes to classic cocktails | 13. Emulsifying cocktail ingredient whose white yields a silky textural foam collar | 15. Plural hourglass metal tools used to measure spirits with volumetric accuracy | 16. Legendary Trader Vic tiki cocktail spotlighting aged rum lime curaçao and almond orgeat | 19. The delicate sparkling effervescent foam that rises when champagne is poured | 21. Plural of the rich egg | 23. Delicate pastel hue of pink gin seasoned with Angostura bitters or the gin Pink Lady | 24. Foundational cocktail template balancing spirit with citrus and sweetener | 26. The official shift journal recording daily bar inventory
2026-09-11,mini,Commuter Special,C#MUSTS/R#A#A#I/E#LIP#P/M#T##K#/AUSTRIA/N####W#/TAG#BIN,2. Plural of the freshly pressed unfermented grape juices containing skins | 5. The outer rim of a glassware bowl where garnishes are balanced | 7. Alpine country celebrated for apricot marillen schnapps and crisp Grüner Veltliner wines | 8. Printed label attached to a bottle neck declaring vintage | 9. Insulated stainless steel ice compartment in a cocktail well or cellar wine storage cubby,1. Appellation for French traditional-method sparkling wines produced outside Champagne | 2. Plural of the germinated barley grains kiln-dried to produce single malt Scotch whiskies | 3. Sweet raw fluid tapped from birch or maple trees fermented into regional wilderness wines | 4. A small | 6. Fuzzy emerald fruit featuring tart black seeds muddled into modern summer caipiroskas
